Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,correlation_threshold,resampling,feature_selection_k
K Nearest Neighbors,KMeans,0.41139240506329117,0.29324894514767935,0.7,0.7,True,16
K Nearest Neighbors,DBScan,0.41139240506329117,0.25316455696202533,0.7,0.7,True,16
Neural Network,KMeans,0.35864978902953587,0.3248945147679325,0.7,0.7,True,16
Neural Network,DBScan,0.35864978902953587,0.28481012658227844,0.7,0.7,True,16
Random Forest,KMeans,0.5084388185654009,0.37341772151898733,0.7,0.7,True,16
Random Forest,DBScan,0.5084388185654009,0.3080168776371308,0.7,0.7,True,16
Kernel SVM (linear),KMeans,0.4113924050632911,0.35021097046413496,0.7,0.7,True,16
Kernel SVM (linear),DBScan,0.4113924050632911,0.29957805907173,0.7,0.7,True,16
Kernel SVM (poly),KMeans,0.37763713080168776,0.29535864978902954,0.7,0.7,True,16
Kernel SVM (poly),DBScan,0.37763713080168776,0.2426160337552743,0.7,0.7,True,16
Kernel SVM (rbf),KMeans,0.3924050632911393,0.33544303797468356,0.7,0.7,True,16
Kernel SVM (rbf),DBScan,0.3924050632911393,0.3059071729957806,0.7,0.7,True,16
Kernel SVM (sigmoid),KMeans,0.40717299578059074,0.3143459915611814,0.7,0.7,True,16
Kernel SVM (sigmoid),DBScan,0.40717299578059074,0.24894514767932488,0.7,0.7,True,16
K Nearest Neighbors,KMeans,0.3924050632911393,0.2721518987341772,0.7,0.7,True,32
K Nearest Neighbors,DBScan,0.3924050632911393,0.08227848101265822,0.7,0.7,True,32
Neural Network,KMeans,0.35864978902953587,0.3270042194092827,0.7,0.7,True,32
Neural Network,DBScan,0.35864978902953587,0.2552742616033756,0.7,0.7,True,32
Random Forest,KMeans,0.5316455696202532,0.36075949367088606,0.7,0.7,True,32
Random Forest,DBScan,0.5316455696202532,0.1687763713080169,0.7,0.7,True,32
Kernel SVM (linear),KMeans,0.44936708860759494,0.3544303797468354,0.7,0.7,True,32
Kernel SVM (linear),DBScan,0.44936708860759494,0.22573839662447256,0.7,0.7,True,32
Kernel SVM (poly),KMeans,0.409282700421941,0.3143459915611814,0.7,0.7,True,32
Kernel SVM (poly),DBScan,0.409282700421941,0.2109704641350211,0.7,0.7,True,32
Kernel SVM (rbf),KMeans,0.3459915611814346,0.3291139240506329,0.7,0.7,True,32
Kernel SVM (rbf),DBScan,0.3459915611814346,0.2911392405063291,0.7,0.7,True,32
Kernel SVM (sigmoid),KMeans,0.3966244725738397,0.2911392405063291,0.7,0.7,True,32
Kernel SVM (sigmoid),DBScan,0.3966244725738397,0.14345991561181434,0.7,0.7,True,32
K Nearest Neighbors,KMeans,0.3860759493670886,0.2805907172995781,0.7,0.7,True,64
K Nearest Neighbors,DBScan,0.3860759493670886,0.0759493670886076,0.7,0.7,True,64
Neural Network,KMeans,0.38396624472573837,0.3417721518987342,0.7,0.7,True,64
Neural Network,DBScan,0.38396624472573837,0.26160337552742613,0.7,0.7,True,64
Random Forest,KMeans,0.5632911392405063,0.3881856540084388,0.7,0.7,True,64
Random Forest,DBScan,0.5632911392405063,0.10337552742616034,0.7,0.7,True,64
Kernel SVM (linear),KMeans,0.4493670886075949,0.3628691983122363,0.7,0.7,True,64
Kernel SVM (linear),DBScan,0.4493670886075949,0.2468354430379747,0.7,0.7,True,64
Kernel SVM (poly),KMeans,0.38396624472573837,0.33544303797468356,0.7,0.7,True,64
Kernel SVM (poly),DBScan,0.38396624472573837,0.24261603375527427,0.7,0.7,True,64
Kernel SVM (rbf),KMeans,0.41350210970464135,0.3628691983122363,0.7,0.7,True,64
Kernel SVM (rbf),DBScan,0.41350210970464135,0.28902953586497887,0.7,0.7,True,64
Kernel SVM (sigmoid),KMeans,0.459915611814346,0.3565400843881857,0.7,0.7,True,64
Kernel SVM (sigmoid),DBScan,0.459915611814346,0.18565400843881855,0.7,0.7,True,64
K Nearest Neighbors,KMeans,0.3924050632911393,0.27426160337552746,0.7,0.7,True,128
K Nearest Neighbors,DBScan,0.3924050632911393,0.056962025316455694,0.7,0.7,True,128
Neural Network,KMeans,0.3628691983122363,0.31856540084388185,0.7,0.7,True,128
Neural Network,DBScan,0.3628691983122363,0.23628691983122363,0.7,0.7,True,128
Random Forest,KMeans,0.5527426160337553,0.34177215189873417,0.7,0.7,True,128
Random Forest,DBScan,0.5527426160337553,0.07383966244725738,0.7,0.7,True,128
Kernel SVM (linear),KMeans,0.48101265822784806,0.39662447257383965,0.7,0.7,True,128
Kernel SVM (linear),DBScan,0.48101265822784806,0.2679324894514768,0.7,0.7,True,128
Kernel SVM (poly),KMeans,0.39873417721518983,0.34810126582278483,0.7,0.7,True,128
Kernel SVM (poly),DBScan,0.39873417721518983,0.27215189873417717,0.7,0.7,True,128
Kernel SVM (rbf),KMeans,0.34388185654008435,0.3333333333333333,0.7,0.7,True,128
Kernel SVM (rbf),DBScan,0.34388185654008435,0.2974683544303798,0.7,0.7,True,128
Kernel SVM (sigmoid),KMeans,0.459915611814346,0.3375527426160338,0.7,0.7,True,128
Kernel SVM (sigmoid),DBScan,0.459915611814346,0.18354430379746836,0.7,0.7,True,128
K Nearest Neighbors,KMeans,0.4177215189873418,0.310126582278481,0.7,0.7,True,256
K Nearest Neighbors,DBScan,0.4177215189873418,0.06962025316455696,0.7,0.7,True,256
Neural Network,KMeans,0.36497890295358654,0.32489451476793246,0.7,0.7,True,256
Neural Network,DBScan,0.36497890295358654,0.26371308016877637,0.7,0.7,True,256
Random Forest,KMeans,0.5358649789029536,0.33122362869198313,0.7,0.7,True,256
Random Forest,DBScan,0.5358649789029536,0.08016877637130802,0.7,0.7,True,256
Kernel SVM (linear),KMeans,0.459915611814346,0.3755274261603376,0.7,0.7,True,256
Kernel SVM (linear),DBScan,0.459915611814346,0.24472573839662448,0.7,0.7,True,256
Kernel SVM (poly),KMeans,0.419831223628692,0.35654008438818563,0.7,0.7,True,256
Kernel SVM (poly),DBScan,0.419831223628692,0.27848101265822783,0.7,0.7,True,256
Kernel SVM (rbf),KMeans,0.3375527426160338,0.32700421940928265,0.7,0.7,True,256
Kernel SVM (rbf),DBScan,0.3375527426160338,0.2911392405063291,0.7,0.7,True,256
Kernel SVM (sigmoid),KMeans,0.4282700421940928,0.339662447257384,0.7,0.7,True,256
Kernel SVM (sigmoid),DBScan,0.4282700421940928,0.1687763713080169,0.7,0.7,True,256
K Nearest Neighbors,KMeans,0.44936708860759494,0.35864978902953587,0.7,0.7,False,16
K Nearest Neighbors,DBScan,0.44936708860759494,0.3227848101265823,0.7,0.7,False,16
Neural Network,KMeans,0.3881856540084388,0.3375527426160338,0.7,0.7,False,16
Neural Network,DBScan,0.3881856540084388,0.310126582278481,0.7,0.7,False,16
Random Forest,KMeans,0.5379746835443038,0.38396624472573837,0.7,0.7,False,16
Random Forest,DBScan,0.5379746835443038,0.34599156118143465,0.7,0.7,False,16
Kernel SVM (linear),KMeans,0.4535864978902953,0.3375527426160338,0.7,0.7,False,16
Kernel SVM (linear),DBScan,0.4535864978902953,0.29324894514767935,0.7,0.7,False,16
Kernel SVM (poly),KMeans,0.46413502109704646,0.350210970464135,0.7,0.7,False,16
Kernel SVM (poly),DBScan,0.46413502109704646,0.2721518987341772,0.7,0.7,False,16
Kernel SVM (rbf),KMeans,0.5295358649789029,0.3628691983122363,0.7,0.7,False,16
Kernel SVM (rbf),DBScan,0.5295358649789029,0.33122362869198313,0.7,0.7,False,16
Kernel SVM (sigmoid),KMeans,0.470464135021097,0.3333333333333333,0.7,0.7,False,16
Kernel SVM (sigmoid),DBScan,0.470464135021097,0.27848101265822783,0.7,0.7,False,16
K Nearest Neighbors,KMeans,0.4367088607594936,0.3544303797468354,0.7,0.7,False,32
K Nearest Neighbors,DBScan,0.4367088607594936,0.27848101265822783,0.7,0.7,False,32
Neural Network,KMeans,0.38185654008438813,0.339662447257384,0.7,0.7,False,32
Neural Network,DBScan,0.38185654008438813,0.2911392405063291,0.7,0.7,False,32
Random Forest,KMeans,0.5421940928270043,0.37341772151898733,0.7,0.7,False,32
Random Forest,DBScan,0.5421940928270043,0.24261603375527427,0.7,0.7,False,32
Kernel SVM (linear),KMeans,0.5274261603375527,0.39662447257383965,0.7,0.7,False,32
Kernel SVM (linear),DBScan,0.5274261603375527,0.22362869198312232,0.7,0.7,False,32
Kernel SVM (poly),KMeans,0.4535864978902953,0.3417721518987342,0.7,0.7,False,32
Kernel SVM (poly),DBScan,0.4535864978902953,0.16455696202531647,0.7,0.7,False,32
Kernel SVM (rbf),KMeans,0.5464135021097046,0.38396624472573837,0.7,0.7,False,32
Kernel SVM (rbf),DBScan,0.5464135021097046,0.25949367088607594,0.7,0.7,False,32
Kernel SVM (sigmoid),KMeans,0.4831223628691983,0.3544303797468354,0.7,0.7,False,32
Kernel SVM (sigmoid),DBScan,0.4831223628691983,0.22362869198312238,0.7,0.7,False,32
K Nearest Neighbors,KMeans,0.4430379746835443,0.35864978902953587,0.7,0.7,False,64
K Nearest Neighbors,DBScan,0.4430379746835443,0.21518987341772153,0.7,0.7,False,64
Neural Network,KMeans,0.38185654008438824,0.350210970464135,0.7,0.7,False,64
Neural Network,DBScan,0.38185654008438824,0.27848101265822783,0.7,0.7,False,64
Random Forest,KMeans,0.5822784810126582,0.4367088607594937,0.7,0.7,False,64
Random Forest,DBScan,0.5822784810126582,0.18565400843881855,0.7,0.7,False,64
Kernel SVM (linear),KMeans,0.459915611814346,0.3417721518987342,0.7,0.7,False,64
Kernel SVM (linear),DBScan,0.459915611814346,0.1751054852320675,0.7,0.7,False,64
Kernel SVM (poly),KMeans,0.4409282700421941,0.3143459915611814,0.7,0.7,False,64
Kernel SVM (poly),DBScan,0.4409282700421941,0.13080168776371306,0.7,0.7,False,64
Kernel SVM (rbf),KMeans,0.6118143459915611,0.4620253164556962,0.7,0.7,False,64
Kernel SVM (rbf),DBScan,0.6118143459915611,0.20675105485232068,0.7,0.7,False,64
Kernel SVM (sigmoid),KMeans,0.4831223628691983,0.38185654008438813,0.7,0.7,False,64
Kernel SVM (sigmoid),DBScan,0.4831223628691983,0.2109704641350211,0.7,0.7,False,64
K Nearest Neighbors,KMeans,0.5,0.3860759493670886,0.7,0.7,False,128
K Nearest Neighbors,DBScan,0.5,0.23417721518987342,0.7,0.7,False,128
Neural Network,KMeans,0.4177215189873418,0.3713080168776371,0.7,0.7,False,128
Neural Network,DBScan,0.4177215189873418,0.2805907172995781,0.7,0.7,False,128
Random Forest,KMeans,0.5717299578059072,0.4282700421940928,0.7,0.7,False,128
Random Forest,DBScan,0.5717299578059072,0.18776371308016873,0.7,0.7,False,128
Kernel SVM (linear),KMeans,0.5316455696202531,0.40295358649789037,0.7,0.7,False,128
Kernel SVM (linear),DBScan,0.5316455696202531,0.22362869198312232,0.7,0.7,False,128
Kernel SVM (poly),KMeans,0.4050632911392405,0.2827004219409283,0.7,0.7,False,128
Kernel SVM (poly),DBScan,0.4050632911392405,0.11392405063291139,0.7,0.7,False,128
Kernel SVM (rbf),KMeans,0.580168776371308,0.4219409282700422,0.7,0.7,False,128
Kernel SVM (rbf),DBScan,0.580168776371308,0.1877637130801688,0.7,0.7,False,128
Kernel SVM (sigmoid),KMeans,0.5316455696202531,0.39029535864978904,0.7,0.7,False,128
Kernel SVM (sigmoid),DBScan,0.5316455696202531,0.19198312236286919,0.7,0.7,False,128
K Nearest Neighbors,KMeans,0.5,0.3881856540084388,0.7,0.7,False,256
K Nearest Neighbors,DBScan,0.5,0.23417721518987342,0.7,0.7,False,256
Neural Network,KMeans,0.3755274261603376,0.34388185654008435,0.7,0.7,False,256
Neural Network,DBScan,0.3755274261603376,0.26371308016877637,0.7,0.7,False,256
Random Forest,KMeans,0.5632911392405062,0.4008438818565401,0.7,0.7,False,256
Random Forest,DBScan,0.5632911392405062,0.18565400843881855,0.7,0.7,False,256
Kernel SVM (linear),KMeans,0.5295358649789029,0.39873417721518983,0.7,0.7,False,256
Kernel SVM (linear),DBScan,0.5295358649789029,0.21518987341772153,0.7,0.7,False,256
Kernel SVM (poly),KMeans,0.40084388185654013,0.2805907172995781,0.7,0.7,False,256
Kernel SVM (poly),DBScan,0.40084388185654013,0.11392405063291139,0.7,0.7,False,256
Kernel SVM (rbf),KMeans,0.5928270042194094,0.4261603375527426,0.7,0.7,False,256
Kernel SVM (rbf),DBScan,0.5928270042194094,0.18354430379746836,0.7,0.7,False,256
Kernel SVM (sigmoid),KMeans,0.5358649789029536,0.3860759493670886,0.7,0.7,False,256
Kernel SVM (sigmoid),DBScan,0.5358649789029536,0.1940928270042194,0.7,0.7,False,256
K Nearest Neighbors,KMeans,0.4746835443037975,0.3670886075949367,0.7,0.8,True,16
K Nearest Neighbors,DBScan,0.4746835443037975,0.3227848101265823,0.7,0.8,True,16
Neural Network,KMeans,0.37974683544303794,0.34810126582278483,0.7,0.8,True,16
Neural Network,DBScan,0.37974683544303794,0.3164556962025316,0.7,0.8,True,16
Random Forest,KMeans,0.5126582278481012,0.38185654008438824,0.7,0.8,True,16
Random Forest,DBScan,0.5126582278481012,0.350210970464135,0.7,0.8,True,16
Kernel SVM (linear),KMeans,0.41139240506329117,0.3544303797468354,0.7,0.8,True,16
Kernel SVM (linear),DBScan,0.41139240506329117,0.310126582278481,0.7,0.8,True,16
Kernel SVM (poly),KMeans,0.38185654008438824,0.29535864978902954,0.7,0.8,True,16
Kernel SVM (poly),DBScan,0.38185654008438824,0.25316455696202533,0.7,0.8,True,16
Kernel SVM (rbf),KMeans,0.49367088607594933,0.39873417721518994,0.7,0.8,True,16
Kernel SVM (rbf),DBScan,0.49367088607594933,0.37763713080168776,0.7,0.8,True,16
Kernel SVM (sigmoid),KMeans,0.4430379746835443,0.3291139240506329,0.7,0.8,True,16
Kernel SVM (sigmoid),DBScan,0.4430379746835443,0.27848101265822783,0.7,0.8,True,16
K Nearest Neighbors,KMeans,0.4620253164556962,0.3059071729957806,0.7,0.8,True,32
K Nearest Neighbors,DBScan,0.4620253164556962,0.1518987341772152,0.7,0.8,True,32
Neural Network,KMeans,0.38185654008438824,0.339662447257384,0.7,0.8,True,32
Neural Network,DBScan,0.38185654008438824,0.28270042194092826,0.7,0.8,True,32
Random Forest,KMeans,0.5358649789029536,0.36708860759493667,0.7,0.8,True,32
Random Forest,DBScan,0.5358649789029536,0.1940928270042194,0.7,0.8,True,32
Kernel SVM (linear),KMeans,0.40928270042194087,0.3227848101265823,0.7,0.8,True,32
Kernel SVM (linear),DBScan,0.40928270042194087,0.229957805907173,0.7,0.8,True,32
Kernel SVM (poly),KMeans,0.3691983122362869,0.28902953586497887,0.7,0.8,True,32
Kernel SVM (poly),DBScan,0.3691983122362869,0.17088607594936708,0.7,0.8,True,32
Kernel SVM (rbf),KMeans,0.47257383966244726,0.39873417721518994,0.7,0.8,True,32
Kernel SVM (rbf),DBScan,0.47257383966244726,0.3206751054852321,0.7,0.8,True,32
Kernel SVM (sigmoid),KMeans,0.3881856540084388,0.3375527426160338,0.7,0.8,True,32
Kernel SVM (sigmoid),DBScan,0.3881856540084388,0.189873417721519,0.7,0.8,True,32
K Nearest Neighbors,KMeans,0.41139240506329117,0.29957805907173,0.7,0.8,True,64
K Nearest Neighbors,DBScan,0.41139240506329117,0.0759493670886076,0.7,0.8,True,64
Neural Network,KMeans,0.36075949367088606,0.32700421940928265,0.7,0.8,True,64
Neural Network,DBScan,0.36075949367088606,0.26160337552742613,0.7,0.8,True,64
Random Forest,KMeans,0.5485232067510549,0.3713080168776372,0.7,0.8,True,64
Random Forest,DBScan,0.5485232067510549,0.11603375527426159,0.7,0.8,True,64
Kernel SVM (linear),KMeans,0.4578059071729958,0.4050632911392405,0.7,0.8,True,64
Kernel SVM (linear),DBScan,0.4578059071729958,0.2805907172995781,0.7,0.8,True,64
Kernel SVM (poly),KMeans,0.3691983122362869,0.2974683544303798,0.7,0.8,True,64
Kernel SVM (poly),DBScan,0.3691983122362869,0.2088607594936709,0.7,0.8,True,64
Kernel SVM (rbf),KMeans,0.4789029535864979,0.4029535864978903,0.7,0.8,True,64
Kernel SVM (rbf),DBScan,0.4789029535864979,0.28902953586497887,0.7,0.8,True,64
Kernel SVM (sigmoid),KMeans,0.39451476793248946,0.3185654008438819,0.7,0.8,True,64
Kernel SVM (sigmoid),DBScan,0.39451476793248946,0.22151898734177214,0.7,0.8,True,64
K Nearest Neighbors,KMeans,0.43037974683544306,0.2721518987341772,0.7,0.8,True,128
K Nearest Neighbors,DBScan,0.43037974683544306,0.06329113924050633,0.7,0.8,True,128
Neural Network,KMeans,0.4345991561181434,0.3881856540084388,0.7,0.8,True,128
Neural Network,DBScan,0.4345991561181434,0.2869198312236287,0.7,0.8,True,128
Random Forest,KMeans,0.5717299578059071,0.35021097046413496,0.7,0.8,True,128
Random Forest,DBScan,0.5717299578059071,0.08649789029535865,0.7,0.8,True,128
Kernel SVM (linear),KMeans,0.47257383966244726,0.40717299578059074,0.7,0.8,True,128
Kernel SVM (linear),DBScan,0.47257383966244726,0.2742616033755274,0.7,0.8,True,128
Kernel SVM (poly),KMeans,0.4177215189873418,0.3713080168776371,0.7,0.8,True,128
Kernel SVM (poly),DBScan,0.4177215189873418,0.2974683544303797,0.7,0.8,True,128
Kernel SVM (rbf),KMeans,0.35654008438818563,0.34388185654008446,0.7,0.8,True,128
Kernel SVM (rbf),DBScan,0.35654008438818563,0.310126582278481,0.7,0.8,True,128
Kernel SVM (sigmoid),KMeans,0.41350210970464135,0.3291139240506329,0.7,0.8,True,128
Kernel SVM (sigmoid),DBScan,0.41350210970464135,0.16033755274261605,0.7,0.8,True,128
K Nearest Neighbors,KMeans,0.39873417721518994,0.27426160337552746,0.7,0.8,True,256
K Nearest Neighbors,DBScan,0.39873417721518994,0.05063291139240506,0.7,0.8,True,256
Neural Network,KMeans,0.3755274261603376,0.34177215189873417,0.7,0.8,True,256
Neural Network,DBScan,0.3755274261603376,0.2848101265822785,0.7,0.8,True,256
Random Forest,KMeans,0.5295358649789029,0.34177215189873417,0.7,0.8,True,256
Random Forest,DBScan,0.5295358649789029,0.06118143459915611,0.7,0.8,True,256
Kernel SVM (linear),KMeans,0.4767932489451477,0.4177215189873418,0.7,0.8,True,256
Kernel SVM (linear),DBScan,0.4767932489451477,0.270042194092827,0.7,0.8,True,256
Kernel SVM (poly),KMeans,0.42405063291139244,0.3713080168776371,0.7,0.8,True,256
Kernel SVM (poly),DBScan,0.42405063291139244,0.2848101265822785,0.7,0.8,True,256
Kernel SVM (rbf),KMeans,0.36075949367088606,0.339662447257384,0.7,0.8,True,256
Kernel SVM (rbf),DBScan,0.36075949367088606,0.29957805907172996,0.7,0.8,True,256
Kernel SVM (sigmoid),KMeans,0.4219409282700422,0.32700421940928265,0.7,0.8,True,256
Kernel SVM (sigmoid),DBScan,0.4219409282700422,0.16455696202531644,0.7,0.8,True,256
K Nearest Neighbors,KMeans,0.45569620253164556,0.3628691983122363,0.7,0.8,False,16
K Nearest Neighbors,DBScan,0.45569620253164556,0.3037974683544304,0.7,0.8,False,16
Neural Network,KMeans,0.38396624472573837,0.34388185654008435,0.7,0.8,False,16
Neural Network,DBScan,0.38396624472573837,0.3080168776371308,0.7,0.8,False,16
Random Forest,KMeans,0.5358649789029536,0.37763713080168776,0.7,0.8,False,16
Random Forest,DBScan,0.5358649789029536,0.3459915611814346,0.7,0.8,False,16
Kernel SVM (linear),KMeans,0.5168776371308017,0.3713080168776372,0.7,0.8,False,16
Kernel SVM (linear),DBScan,0.5168776371308017,0.31012658227848106,0.7,0.8,False,16
Kernel SVM (poly),KMeans,0.5042194092827005,0.33122362869198313,0.7,0.8,False,16
Kernel SVM (poly),DBScan,0.5042194092827005,0.2637130801687763,0.7,0.8,False,16
Kernel SVM (rbf),KMeans,0.518987341772152,0.3417721518987342,0.7,0.8,False,16
Kernel SVM (rbf),DBScan,0.518987341772152,0.33122362869198313,0.7,0.8,False,16
Kernel SVM (sigmoid),KMeans,0.48523206751054854,0.3375527426160338,0.7,0.8,False,16
Kernel SVM (sigmoid),DBScan,0.48523206751054854,0.29535864978902954,0.7,0.8,False,16
K Nearest Neighbors,KMeans,0.5126582278481012,0.3860759493670886,0.7,0.8,False,32
K Nearest Neighbors,DBScan,0.5126582278481012,0.27848101265822783,0.7,0.8,False,32
Neural Network,KMeans,0.4282700421940928,0.379746835443038,0.7,0.8,False,32
Neural Network,DBScan,0.4282700421940928,0.30168776371308015,0.7,0.8,False,32
Random Forest,KMeans,0.5928270042194093,0.43037974683544306,0.7,0.8,False,32
Random Forest,DBScan,0.5928270042194093,0.26160337552742613,0.7,0.8,False,32
Kernel SVM (linear),KMeans,0.5506329113924051,0.40295358649789037,0.7,0.8,False,32
Kernel SVM (linear),DBScan,0.5506329113924051,0.23417721518987342,0.7,0.8,False,32
Kernel SVM (poly),KMeans,0.4873417721518987,0.3755274261603376,0.7,0.8,False,32
Kernel SVM (poly),DBScan,0.4873417721518987,0.21940928270042193,0.7,0.8,False,32
Kernel SVM (rbf),KMeans,0.6033755274261603,0.4050632911392405,0.7,0.8,False,32
Kernel SVM (rbf),DBScan,0.6033755274261603,0.23417721518987342,0.7,0.8,False,32
Kernel SVM (sigmoid),KMeans,0.4957805907172996,0.34177215189873417,0.7,0.8,False,32
Kernel SVM (sigmoid),DBScan,0.4957805907172996,0.2109704641350211,0.7,0.8,False,32
K Nearest Neighbors,KMeans,0.4430379746835443,0.37341772151898733,0.7,0.8,False,64
K Nearest Neighbors,DBScan,0.4430379746835443,0.25949367088607594,0.7,0.8,False,64
Neural Network,KMeans,0.3924050632911393,0.3459915611814346,0.7,0.8,False,64
Neural Network,DBScan,0.3924050632911393,0.27848101265822783,0.7,0.8,False,64
Random Forest,KMeans,0.5759493670886076,0.39873417721518994,0.7,0.8,False,64
Random Forest,DBScan,0.5759493670886076,0.21518987341772153,0.7,0.8,False,64
Kernel SVM (linear),KMeans,0.47257383966244726,0.36497890295358654,0.7,0.8,False,64
Kernel SVM (linear),DBScan,0.47257383966244726,0.20253164556962025,0.7,0.8,False,64
Kernel SVM (poly),KMeans,0.4535864978902953,0.34388185654008435,0.7,0.8,False,64
Kernel SVM (poly),DBScan,0.4535864978902953,0.1582278481012658,0.7,0.8,False,64
Kernel SVM (rbf),KMeans,0.5675105485232068,0.4050632911392405,0.7,0.8,False,64
Kernel SVM (rbf),DBScan,0.5675105485232068,0.20675105485232068,0.7,0.8,False,64
Kernel SVM (sigmoid),KMeans,0.4451476793248945,0.3248945147679325,0.7,0.8,False,64
Kernel SVM (sigmoid),DBScan,0.4451476793248945,0.19198312236286919,0.7,0.8,False,64
K Nearest Neighbors,KMeans,0.5063291139240507,0.4240506329113924,0.7,0.8,False,128
K Nearest Neighbors,DBScan,0.5063291139240507,0.25949367088607594,0.7,0.8,False,128
Neural Network,KMeans,0.4282700421940928,0.37763713080168776,0.7,0.8,False,128
Neural Network,DBScan,0.4282700421940928,0.2658227848101266,0.7,0.8,False,128
Random Forest,KMeans,0.609704641350211,0.43037974683544306,0.7,0.8,False,128
Random Forest,DBScan,0.609704641350211,0.19198312236286919,0.7,0.8,False,128
