Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,resampling,feature_selection_k
K Nearest Neighbors,KMeans,0.5602409638554217,0.5602409638554217,,True,16
Neural Network,KMeans,0.4357429718875501,0.4347389558232932,,True,16
Random Forest,KMeans,0.929718875502008,0.929718875502008,,True,16
Kernel SVM (linear),KMeans,0.6546184738955823,0.6244979919678715,,True,16
Kernel SVM (poly),KMeans,0.6636546184738956,0.6636546184738956,,True,16
Kernel SVM (rbf),KMeans,0.6174698795180723,0.5180722891566265,,True,16
Kernel SVM (sigmoid),KMeans,0.6285140562248995,0.6285140562248995,,True,16
K Nearest Neighbors,KMeans,0.39457831325301207,0.39457831325301207,,True,32
Neural Network,KMeans,0.5461847389558233,0.5461847389558233,,True,32
Random Forest,KMeans,0.963855421686747,0.963855421686747,,True,32
Kernel SVM (linear),KMeans,0.7319277108433736,0.7319277108433736,,True,32
Kernel SVM (poly),KMeans,0.8062248995983937,0.8062248995983937,,True,32
Kernel SVM (rbf),KMeans,0.6937751004016063,0.6937751004016063,,True,32
Kernel SVM (sigmoid),KMeans,0.6305220883534136,0.6224899598393573,,True,32
K Nearest Neighbors,KMeans,0.4246987951807229,0.4246987951807229,,True,64
Neural Network,KMeans,0.48293172690763053,0.48293172690763053,,True,64
Random Forest,KMeans,0.9819277108433736,0.9819277108433736,,True,64
Kernel SVM (linear),KMeans,0.6214859437751005,0.6214859437751005,,True,64
Kernel SVM (poly),KMeans,0.6867469879518072,0.6867469879518072,,True,64
Kernel SVM (rbf),KMeans,0.6405622489959839,0.6405622489959839,,True,64
Kernel SVM (sigmoid),KMeans,0.646586345381526,0.646586345381526,,True,64
K Nearest Neighbors,KMeans,0.35843373493975905,0.35642570281124497,,True,128
Neural Network,KMeans,0.5542168674698794,0.5542168674698794,,True,128
Random Forest,KMeans,0.9377510040160643,0.9377510040160643,,True,128
Kernel SVM (linear),KMeans,0.49899598393574296,0.4979919678714859,,True,128
Kernel SVM (poly),KMeans,0.46586345381526106,0.46586345381526106,,True,128
Kernel SVM (rbf),KMeans,0.5180722891566265,0.5180722891566265,,True,128
Kernel SVM (sigmoid),KMeans,0.46987951807228917,0.46987951807228917,,True,128
K Nearest Neighbors,KMeans,0.3614457831325301,0.35843373493975905,,True,256
Neural Network,KMeans,0.5301204819277109,0.5210843373493975,,True,256
Random Forest,KMeans,0.9809236947791163,0.9377510040160644,,True,256
Kernel SVM (linear),KMeans,0.569277108433735,0.5502008032128514,,True,256
Kernel SVM (poly),KMeans,0.44879518072289154,0.44879518072289154,,True,256
Kernel SVM (rbf),KMeans,0.535140562248996,0.5321285140562249,,True,256
Kernel SVM (sigmoid),KMeans,0.5471887550200804,0.5471887550200804,,True,256
K Nearest Neighbors,KMeans,0.572289156626506,0.570281124497992,,False,16
Neural Network,KMeans,0.4979919678714859,0.47188755020080325,,False,16
Random Forest,KMeans,0.9016064257028112,0.8493975903614457,,False,16
Kernel SVM (linear),KMeans,0.7128514056224899,0.5732931726907631,,False,16
Kernel SVM (poly),KMeans,0.7349397590361445,0.7349397590361445,,False,16
Kernel SVM (rbf),KMeans,0.6485943775100401,0.5481927710843374,,False,16
Kernel SVM (sigmoid),KMeans,0.7409638554216867,0.6455823293172691,,False,16
K Nearest Neighbors,KMeans,0.5240963855421686,0.48092369477911645,,False,32
Neural Network,KMeans,0.501004016064257,0.501004016064257,,False,32
Random Forest,KMeans,0.964859437751004,0.964859437751004,,False,32
Kernel SVM (linear),KMeans,0.7309236947791163,0.6405622489959839,,False,32
Kernel SVM (poly),KMeans,0.7218875502008032,0.7218875502008032,,False,32
Kernel SVM (rbf),KMeans,0.7218875502008032,0.6315261044176707,,False,32
Kernel SVM (sigmoid),KMeans,0.7560240963855422,0.7560240963855422,,False,32
K Nearest Neighbors,KMeans,0.4759036144578313,0.4558232931726907,,False,64
Neural Network,KMeans,0.5522088353413656,0.5522088353413656,,False,64
Random Forest,KMeans,0.9708835341365462,0.9708835341365462,,False,64
